업체명,카테고리명,술집여부,시도명,시군구명,읍면동명,리명,번지,도로명,경도,위도,주차가능여부,운영시간0,운영시간1,운영시간2,운영시간3,운영시간4,운영시간5,10대,20대,30대,40대,50대,60+대
4도씨,기타,1.0,부산광역시,강서구,명지동,,3446-9,명지국제6로242번길12-1,128.923944185144,35.0966937674981,Y,0.0,0.0,0.0,0.0,1.0,1.0,2,6,8,4,6,5
가롱집,기타,1.0,부산광역시,부산진구,전포동,,313-1,전포대로210번길30,129.067128240273,35.1553297102721,N,0.0,0.0,0.0,0.0,1.0,1.0,5,5,1,8,5,0
77돌곱창,아시아,0.0,부산광역시,사상구,감전동,,121-95,괘감로98,128.98507400195,35.157142212607,Y,0.0,0.0,0.0,1.0,1.0,0.0,5,1,36,7,1,8
A6양곱창,아시아,0.0,부산광역시,부산진구,부전동,,524-7,중앙대로691번길43,129.056588994893,35.1543018070958,N,0.0,0.0,0.0,0.0,1.0,1.0,0,6,6,8,3,6
1957 양갈비식당 덕천점,아시아,0.0,부산광역시,북구,덕천동,,402-13,만덕대로16번길23,129.007424954325,35.2094923563425,N,0.0,0.0,0.0,0.0,1.0,1.0,4,1,2,1,1,37
라이옥베트남쌀국수 부산대점,아시아,0.0,부산광역시,금정구,장전동,,296-24,장전로12번길8,129.087695756371,35.2280473450539,Y,0.0,0.0,1.0,1.0,1.0,0.0,32,3,5,4,2,7
라임하노이,아시아,0.0,부산광역시,영도구,동삼동,,231-97,웃서발로69,129.069733326411,35.0792898773532,N,0.0,0.0,0.0,1.0,1.0,1.0,37,6,1,4,7,1
라이옥베트남쌀국수,아시아,0.0,부산광역시,남구,대연동,,34-12,용소로7번길76,129.104087562809,35.1382730203544,N,0.0,0.0,1.0,1.0,1.0,0.0,7,0,40,9,2,9
다카라함바그 현대백화점 부산점,양식,0.0,부산광역시,동구,범일동,,62-5,범일로125,129.058619213805,35.1412854132325,Y,0.0,0.0,1.0,1.0,1.0,0.0,7,9,3,5,31,6
restaurant 36,양식,0.0,부산광역시,사상구,모라동,,471,모라로99,128.990517324058,35.1865197586128,Y,0.0,0.0,0.0,1.0,1.0,0.0,5,2,8,9,9,7
