이름,위도,경도,시도명,시군구명,읍면동명,리명,번지,도로명,도로명상세,주차가능여부,숙박업분류,카테고리명,10대,20대,30대,40대,50대,60+대,숙박유형
베스티호텔,35.12819599,128.8539747,부산광역시,강서구,구랑동,,1205-2,미음산단로,17,Y,,숙박/휴양,104,325,302,498,235,31,호텔
대저캠핑장,35.21594699,128.9910806,부산광역시,강서구,대저1동,,01-05,,,Y,,문화관광/명소,408,489,481,462,428,282,모텔
대저생태공원캠핑장,35.20741419,128.9847474,부산광역시,강서구,대저1동,,01-05,,,,,문화관광/명소,206,427,394,385,289,201,모텔
공항하숙,35.18070548,128.9557911,부산광역시,강서구,대저2동,,1843-22,공항로811번길,60-20,Y,,숙박/휴양,189,86,136,208,402,251,민박
에어포트호텔,35.16569198,128.9545073,부산광역시,강서구,대저2동,,17624,유통단지1로65번길,15,Y,,숙박/휴양,359,441,394,453,365,47,호텔
초롱블루펜션,35.0153664,128.8344939,부산광역시,강서구,대항동,,01-17,가덕해안로1169번길,62-33,Y,,숙박/휴양,385,307,375,466,465,94,펜션
썬앤문풀빌라,35.01548277,128.8341854,부산광역시,강서구,대항동,,03-17,가덕해안로1169번길,96,,,숙박/휴양,314,139,191,470,372,59,펜션
파도소리,35.01621381,128.834598,부산광역시,강서구,대항동,,09-03,가덕해안로1169번길,62-47,,,숙박/휴양,254,51,209,284,396,349,민박
하늘과바다,35.01490389,128.8339249,부산광역시,강서구,대항동,,05-23,가덕해안로1169번길,80,Y,,숙박/휴양,285,178,229,354,318,51,펜션
썬앤문풀빌라,35.01541542,128.834292,부산광역시,강서구,대항동,,11-17,가덕해안로1169번길,104,,,숙박/휴양,297,176,205,480,415,119,펜션
가덕도새바지펜션,35.01469828,128.8344362,부산광역시,강서구,대항동,,24,가덕해안로1169번길,62-22,,,숙박/휴양,401,130,306,451,413,89,펜션
대항체험마을민박,35.01166947,128.8276588,부산광역시,강서구,대항동,,245-1,가덕해안로1207번길,,Y,,숙박/휴양,116,72,88,381,475,408,민박
섬마을장어구이펜션,35.01415788,128.8275994,부산광역시,강서구,대항동,,385,가덕해안로1208번길,45,Y,,숙박/휴양,333,220,262,437,355,33,펜션
